,State,col,row,code,Percent Restrictive,Year,Crude Rate_x,HFR
0,Alaska,3,1,AK,0.5555555555555556,2020.0,23.9,0.572
1,Washington,3,3,WA,0.8285714285714286,2020.0,11.2,0.321
2,Oregon,3,4,OR,0.75,2020.0,14.0,0.414
3,California,3,5,CA,0.9090909090909091,2020.0,8.8,0.163
4,Hawaii,3,8,HI,0.847457627118644,2020.0,3.6,0.091
5,Idaho,4,3,ID,0.5217391304347826,2020.0,17.6,0.578
6,Nevada,4,4,NV,0.8,2020.0,17.4,0.329
7,Utah,4,5,UT,0.6206896551724138,2020.0,13.2,0.397
8,Arizona,4,6,AZ,0.72,2020.0,17.0,0.36
9,Montana,5,3,MT,0.5,2020.0,22.0,0.65
10,Wyoming,5,4,WY,0.5555555555555556,2020.0,26.4,0.607
11,Colorado,5,5,CO,0.6666666666666666,2020.0,15.9,0.379
12,New Mexico,5,6,NM,0.7647058823529411,2020.0,22.7,0.359
13,North Dakota,6,3,ND,0.6111111111111112,2020.0,13.1,0.533
14,South Dakota,6,4,SD,0.46153846153846156,2020.0,13.4,0.55
15,Nebraska,6,5,NE,0.782608695652174,2020.0,10.2,0.392
16,Kansas,6,6,KS,0.5,2020.0,17.0,0.423
17,Oklahoma,6,7,OK,0.6521739130434783,2020.0,20.7,0.549
18,Texas,6,8,TX,0.5909090909090909,2020.0,14.2,0.355
19,Minnesota,7,3,MN,0.6666666666666666,2020.0,9.1,0.391
20,Iowa,7,4,IA,0.6818181818181818,2020.0,11.1,0.385
21,Missouri,7,5,MO,0.5483870967741935,2020.0,23.2,0.528
22,Arkansas,7,6,AR,0.6,2020.0,22.2,0.518
23,Louisiana,7,7,LA,0.5416666666666666,2020.0,25.5,0.523
24,Wisconsin,8,2,WI,0.782608695652174,2020.0,12.3,0.471
25,Illinois,8,3,IL,0.9019607843137255,2020.0,13.9,0.226
26,Indiana,8,4,IN,0.6071428571428571,2020.0,17.2,0.424
27,Kentucky,8,5,KY,0.5,2020.0,20.1,0.525
28,Tennessee,8,6,TN,0.6206896551724138,2020.0,21.4,0.469
29,Mississippi,8,7,MS,0.5263157894736842,2020.0,27.6,0.541
30,Michigan,9,3,MI,0.7142857142857143,2020.0,14.6,0.389
31,Ohio,9,4,OH,0.7619047619047619,2020.0,15.1,0.419
32,West Virginia,9,5,WV,0.65,2020.0,18.2,0.6
33,North Carolina,9,6,NC,0.7586206896551724,2020.0,16.0,0.371
34,Alabama,9,7,AL,0.5882352941176471,2020.0,23.2,0.528
35,Pennsylvania,10,4,PA,0.6857142857142857,2020.0,13.7,0.402
36,Virginia,10,5,VA,0.75,2020.0,13.7,0.353
37,South Carolina,10,6,SC,0.5909090909090909,2020.0,21.7,0.45
38,Georgia,10,7,GA,0.5416666666666666,2020.0,17.7,0.377
39,New York,11,3,NY,0.925,2020.0,5.4,0.145
40,New Jersey,11,4,NJ,0.9166666666666666,2020.0,5.0,0.089
41,Maryland,11,5,MD,0.8648648648648649,2020.0,13.3,0.167
42,Florida,11,8,FL,0.84375,2020.0,14.0,0.288
43,Vermont,12,2,VT,0.75,2020.0,12.2,0.503
44,Massachusetts,12,3,MA,0.9375,2020.0,3.9,0.09
45,Connecticut,12,4,CT,0.8269230769230769,2020.0,6.2,0.188
46,Delaware,12,5,DE,0.8666666666666667,2020.0,13.7,0.387
47,Maine,13,1,ME,0.5882352941176471,2020.0,11.3,0.477
48,New Hampshire,13,2,NH,0.6,2020.0,9.4,0.463
49,Rhode Island,13,4,RI,0.8378378378378378,2020.0,5.1,0.139
